colName_FirstName|colName_GEN|colName_MARITALSTATUS|colName_EA|colName_COUNTRY|colName_USPHN
farnandez|Female|Widowed|OZ_@kI.Z.p.E.jEcp|Джибути|(443) 341-8263 
floe|F|Surviving Civil Partner|_.4._L5@-5H-8--.9.z.qG|Singapur|978. 230/ 7210
ufuoma|F|Separated|4@--.Oc|Uzbekistan|(329)429 . 0516
munier|F|Surviving Civil Partner|"o.U"@2.j8.KpI|Man, Isla de|386762 .2956EXT1
dearbhla|M|Married|"_N"@BS--87NE7.5-.L.4Z.sO|比利時|057.8983289ext7
gentian|F|Married|"_3SJ"@-0-H.-u-.-0p.W.Rw|Philippines|047  435-9766 X4
gabrielsson|Male|Married|__.xcvDwd.gH.s9f8@G3mi.K---.1-4u.-.AsT|Гонконг|024797 3983X 2
delia|M|Surviving Civil Partner|_Y.C85uK_H_.Zd4g2V.___5.kN@[3.8.922.1]|Suède|088443.3436Ext97
wincents|M|Single|_Z.5vr.2_@8dcHp-8-y.-0.X8P.f5P-a-48M-E4-.wEMZWP|Südossetien|107 - 4655743X42
zenovia|Female|Married|9_6P@z.2A5Q2X.My.-L--e.rP|Frankreich|1.(675) 458.6880
marel|Male|Married|7.B._3_.kA@--QB-97-M-.4H----.---.21.zl|Islas Caimán|+1 /(329)4016179
harriet|M|Married|8GH@8-1T7.rS|辛巴威|080695  1102
salmane|F|Divorced|"nwh5_.v_.9_"@[31.450.5.1]|蒙特內哥羅|+1(419)-314 2443
dreama|F|Widowed|ra.5_._N.1@G0.ZO2A.t2.-ub3QO.OAj|Sudan|(999)3541859
henads|Female|Separated|v@[288.4.674.074]|Serbia|(719)546-4272 x4
ngeh|Male|Civil Partner|y.__@Wz-dFRjB.Dz|Bahrain|(887)640-9915 X2
haji|M|Civil Partner|u@[9.267.9.761]|澳大利亚|312359.1849x0
maryury|F|Civil Partner|9.4.5@w--R7QW.0b-4.d-WT--4-HLexnP5.5--.lxLyu|Égypte|(142)/7193653X 8
really|Male|Civil Partner|_.z2_.p@R.716-0.e-6--00o.j2.qD|Trinité-et-Tobago|193  9184854
mindia|Female|Divorced|_7_MUA_@-dY.-5-.4.--OOJ55Pju-.WRA|Киргизия|122. 079 8063
sarama|Female|Surviving Civil Partner|5pgLQ1_7.T_@-QpL-.j9o.HFC|États-Unis|681 344 .1043x 5
michelina|Male|Single|N@N1--.D---9-ODl.33-s2a-.-HO.cW|Congo|021. 269- 1194X5
rosaura|Female|Civil Partner|9M.S@[2.0.6.1]|荷蘭|1(954) -986 3088
bassingbourne|Female|Single|_L.3_@p-v8-.Us.3--NC.27.tD|Самоа|242291 2281 
reinprecht|Male|Divorced|_@--144-o.9.-9-LE-P8t.Xpg|乍得|121 .519. 9069
zhuangfei|Female|Divorced|"G"@L-h-Sr--CD-Ps4--.fP50e-0.Pv.vv|Lao|072-281.6104eXt5
hugon|F|Civil Partner|__1g6.1.25.2@K-S.-0.Q--E.c.eykCvk|Anguilla|1 -5829908527 X9
warfolomejewitsch|Female|Divorced|5nJi_.1FLdE6_h.Rj.QC7.797_@O-.c-3TD-2bk-G.O854SW-dn4.8.sNz|Bangladesh|1 217/496 . 3170
nanci|Male|Separated|x9ua_._C_.f_a_@Isb5a-s.p5TISGt21k.-.T.yP|Сен-Мартен|(415). 610 .2908
aitane|Female|Surviving Civil Partner|"W2_._"@--3U-4c5-.Yi|Финляндия|233- 639/2781
opole|F|Divorced|75bk@6yN5N.GhXvn8YL6dV--C23.1-6n--3.tr2Q-9.Zh|Latvia|+1 -(313)8896091
ancuta|F|Widowed|08_.____@lpX79.-P-wyd-V.--5AzKtSn.BE|几内亚比绍|(150)3943213x. 2
edelgard|M|Separated|"yo.BFG__7"@z2w.-.l.-.PUb|Yémen|402 -910 - 3211
maclehose|Male|Divorced|6Q63Iy.6@9n6.LD|Caimán|253 -377 7141X.2
anthelme|Male|Divorced|"_8.g6_1.9vIY_"@de--gJs--.2----.-.-.iMECGX|Зимбабве|(179)8925914EXT4
abdelrahim|M|Widowed|_3hb@1.--6T0M-2.j3Wf.4-La.fc|法屬玻里尼西亞|086/888 0977
milap|Male|Married|W.W.y4R@-R9zZ.Ckska|帛琉|1.720  2885476x0
aram|M|Single|l1_.N._6._s9H1@wS.TsibE.-x7I.-.uEk|印尼|(665)242  6542x6
brigida|Female|Widowed|tl5a_.8@y.-v-Fq.TF76-8.0A-Q-R3.UUzQ|République démocratique du Congo|270616.0257x 152
tesni|Male|Single|"_b.7o_5._"@8--OVi.MXyh|Republik Kongo|(997)-951 4817
charudatta|Female|Separated|73.k@[4.849.231.3]|安哥拉|1 (920). 6572429
rafaella|M|Widowed|6._5Z@[93.3.76.88]|São Tomé e Príncipe|+1-(846)/8897214
thiruvanchoor|F|Separated|sh@[39.8.5.993]|Pologne|+1 .(570)8293999
wanyan|Female|Separated|yw@[54.69.315.4]|Saint Vincent and the Grenadines|055/ 381 9686
wasa|Male|Widowed|XV__16W3@6-MU-8-H061-sUXM.v.M.P.eAVFpA|Tschad|1 (408). 4901811
hunter|F|Married|0Kk4O_M@fY-B-P.3-zX.23.8sD04oS.IP|Greece|(746)086. 3422x0
yankı|Male|Widowed|"xY3"@b9J.S2E1s.0Q76D-qA9--P-y2-.Lxl|Japon|+1-3431220941
cayetana|Male|Widowed|Uz@-65U9H.M.TD-c5x-pb.-t15X8-.vt|CAR|1 (479)  9807293
jinfu|Male|Surviving Civil Partner|c_@q.v0548F.Qt|Kazakhstan|+1 -(908)9945790
nagib|F|Surviving Civil Partner|B_1@um.-n6ZhT.-3-3C-vGe.Gd|Marshall|061 /136- 0195X6
balbanera|M|Surviving Civil Partner|ip8@[8.168.49.42]|Druk Yul|(214)899/ 0620
nesli|F|Civil Partner|0Wl7V_@9p.-Ju.-t.-USKy.FcxDH|South Sudan|316.8363493EXT 1
geraldin|F|Widowed|y.3.__.K.cDIV6_@[7.5.4.9]|Ägypten|+1120 . 627/7435
harold|F|Surviving Civil Partner|_kT.720@-.-2lB6WqU8.eCK|United Arab Emirates|+1(469).318/3269
volmar|M|Divorced|K_1i._koLu.__@[630.3.42.063]|Jamaica|238  0177317 
guoliang|Female|Divorced|9C_s_A@-C-e--0wK-6uC1J2.J.H.Q2R--a-FA37Tt.JR|Polonia|(610)-229-5397X9
mengesha|M|Divorced|i_4_1.tX4Q4L0@[72.150.725.809]|Остров Мэн|+15057401433eXt8
nikole|Male|Surviving Civil Partner|_2vnQ@[0.813.169.886]|Korea, Süd|753. 590  2047
uke|Male|Widowed|"Nh_.7"@tD.G--5W.-3a1.0.ylLl|Micronesia|808 . 2923797X 8
uhl|Female|Divorced|_8f@04-.10FW-P.y6-t.z-8-ATA-W2x.Un|Espagne|065/ 6215950 X.7
azan|M|Civil Partner|1Oe553Zu.i_6.aCg@5d.Ha|Antigua and Barbuda|196061 3239X. 70
ladisla|Female|Civil Partner|"6_"@-3-w-cO.eB|Libéria|5280991076
arliss|F|Widowed|_p7_@j-8-.vW2siqm79G7-.z-G.YRJaB|Kuba|+1-(600) 5316784
takashi|F|Married|__@[498.671.0.2]|Japan|(958)  353 .9227
